tweet_id,created_at,text,favorties,retweets
1290449245011681280,2020-08-04 00:47:30,"File Auditing and Analytics for your Nutanix Files Enterprise Cloud

#vCommunity #Cloud #Nutanix… https://t.co/s1dZM1f2vh",4,1
1289901997961801730,2020-08-02 12:32:56,"RT @josh_odgers: Added 4 new nodes to a #Nutanix cluster.

The platform automatically imaged the nodes and upgraded AOS to the correct vers…",0,23
1289235636440805377,2020-07-31 16:25:03,"RT @nutanix: Happy #SysAdminDay from your friends at #Nutanix! To show our appreciation for all the behind-the-scenes work you do, we're of…",0,41
1289233870894718976,2020-07-31 16:18:02,"Deploy Contrail SDN Controller in a Nutanix Cluster!

#vCommunity #NutanixAHV #Nutanix

https://t.co/hpNwn2VbQo https://t.co/tP8yFFS8eC",8,3
1288869732620410880,2020-07-30 16:11:04,This blog shows you how to integrate Contrail SDN controller to manage overlay networks in an AHV cluster!… https://t.co/f8HY9v26ke,3,1
1288501304436895750,2020-07-29 15:47:04,"We are excited to announce the availability of Karbon 2.1!

In this latest release, we’ve focused on tackling two o… https://t.co/LLIP33SjNS",5,1
1288147462658686977,2020-07-28 16:21:02,"🚨  Attention #Nutanix Customers 🚨 

Test Drive Database Operations with Era for a chance to win a Yeti Cooler. 

Jo… https://t.co/V217ytmeMe",10,7
1286706484940812288,2020-07-24 16:55:06,"Learn how to get Cloud Like Flexibility for Nutanix Files and Nutanix Files Pro Licensing!

#vCommunity #Cloud… https://t.co/bkT28FFx89",4,0
1286348107857506305,2020-07-23 17:11:02,"NCP 5.15 is here.. with a DIFFERENT name 🤯 

The NCP certification is now called #Nutanix Certified Professional -… https://t.co/5y7I4tBfS7",4,2
1285617292110376960,2020-07-21 16:47:02,"We are excited to release Nutanix Test Drive 2.5!

Nutanix Test Drive lets you try out the Nutanix platform easily… https://t.co/AADzS2XLe0",5,3
1285552419515006977,2020-07-21 12:29:15,"RT @patrickdamen: Just took the @nutanix Test Drive on ERA (Database as a Service model) and was impressed. Provisioning, cloning and refre…",0,9
