tweet_id,created_at,text,favorties,retweets
1268234987016458241,2020-06-03 17:35:58,June is here &amp; we've got a great lineup of virtual #NCUG meetings! Check out what we have planned so far &amp; keep an… https://t.co/3AyTLwy8nB,3,1
1268023016132239361,2020-06-03 03:33:40,"RT @dheeraj: .@Nutanix and I stand in solidarity with the Black community against hate, racism, and injustice.
We are here to listen and se…",0,95
1266493118372818945,2020-05-29 22:14:24,Thanks @Thorenx @jfaisal1 @hcihillbilly &amp; @selgan (@omahancug) for the contributions!,6,1
1266492699345072128,2020-05-29 22:12:44,We're wrapping up the work week &amp; the month of May with our new #NCUG Spotlight over on the NEXT forum! This month… https://t.co/zSTVBAZ7EC,4,3
1265371652956749825,2020-05-26 19:58:06,"See you tomorrow, 5/27, for our VA/MD #NCUG mtg! We've got @dlink7, Principal Technical Marketing Engineer, joining… https://t.co/MzRBsvTL64",2,1
1265366027971502080,2020-05-26 19:35:45,Wisconsin is officially on the calendar! Join us 6/9 for an info packed agenda and a super cool give away! https://t.co/wL0wY1IY0f,3,0
1263953296353488897,2020-05-22 22:02:03,TGIF! Busy &amp; fun times for #NCUG. Wrapping up the week on a high note w our #Oregon community this AM. Hats off to… https://t.co/aWr4nHCNGL,11,2
1263467760887238656,2020-05-21 13:52:42,"Calling all VA, WV, &amp; MD Nutants! The Virginia #NCUG team is hosting a #virtual mtg next week &amp; you're ALL invited!… https://t.co/Lgf3GYS1YU",4,1
1263098448078753792,2020-05-20 13:25:11,"RT @NutanixIndia: The paradigm of work has changed, and IT leaders are working day in and day out to ensure continued business operations i…",0,1
1263098073590272003,2020-05-20 13:23:42,"RT @nutanix: Digital workspaces are quickly replacing physical desktop setups. Explore benefits of virtualizing apps and services, like imp…",0,4
1262994869959618561,2020-05-20 06:33:36,"Enormous thanks and props to @techdotbeer @duncan16v for hosting the 1st Aussie virtual #NCUG!
#dynamicduo… https://t.co/jqY4lbpFvY",3,1
1262989439447359488,2020-05-20 06:12:02,@cpjones44 sharing #Nutanix knowledge w 85+ users #NCUG #NutanixANZ #WhereYouBelong https://t.co/KYQo6UvhY0,1,0
1262481891522994178,2020-05-18 20:35:13,Check it out Portland: There's a virtual #NCUG meeting coming your way on Friday &amp; it's one you don't want to miss.… https://t.co/MuoNNcarZw,9,3
1262408906015416320,2020-05-18 15:45:12,Happy Monday! It's time to kick off a new week and a new round of #NCUG meetings! We've got FIVE opportunities for… https://t.co/F58Tji8gj1,11,2
1260575655890169857,2020-05-13 14:20:31,Virtual teamwork &amp; high fives are all the rage in North Carolina right now as the #Charlotte &amp; #Triangle chapters a… https://t.co/IsUppXn2bH,2,0
1260294956423544835,2020-05-12 19:45:07,We're just a few hours away from our #SoCal virtual #NCUG meeting! Make sure you're registered (… https://t.co/M2vbWPuwLR,4,0
1260238473413435398,2020-05-12 16:00:40,O-H-I-O is in the house next week! Join our Central Ohio #NCUG team for their virtual user group meeting and jumpst… https://t.co/Pi8W8E9eug,2,0
